,ID,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,GK,Height,Weight,DOB,Preferred foot,Weak foot,Skill move,International reputation,Work rate,Body type,Real face,Release clause,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Traits
0,236988,74,74,74,70,72,72,72,70,71,71,71,70,62,62,62,70,50,47,47,47,50,48,42,42,42,48,18,180,73,30-May-99,Right,3,3,1,High/Medium,Lean (170-185),Yes,€10.1M,43,73,66,66,69,74,54,38,45,73,85,82,80,74,72,72,73,66,59,60,52,19,74,58,68,68,22,19,15,12,10,11,9,5,Chip Shot (AI)
1,225863,66,66,66,69,68,68,68,69,73,73,73,74,76,76,76,74,78,79,79,79,78,78,79,79,79,78,19,181,68,18-Nov-97,Left,4,3,1,Medium/Medium,Lean (170-185),Yes,€21.4M,73,33,74,78,29,73,52,56,78,77,71,75,72,77,70,73,82,76,75,64,71,80,62,74,36,77,76,78,77,8,7,14,8,12,"Dives Into Tackles (AI), Long Passer (AI)"
2,241721,82,82,82,82,82,82,82,82,82,82,82,83,74,74,74,83,60,56,56,56,60,56,48,48,48,56,21,188,81,10-Jun-99,Right,4,4,1,Medium/Low,Lean (185+),No,€130.2M,69,80,63,76,74,89,80,60,62,85,90,92,82,83,80,80,62,75,80,72,60,24,80,74,63,81,22,24,21,10,12,15,11,9,"Finesse Shot, Flair, Speed Dribbler (AI), Technical Dribbler (AI)"
3,224371,77,77,77,78,78,78,78,78,79,79,79,80,74,74,74,80,65,62,62,62,65,62,55,55,55,62,19,175,70,20-Dec-96,Left,3,4,1,High/Medium,Normal (170-185),Yes,€47.4M,79,80,64,74,58,82,71,70,67,79,78,76,79,77,83,72,64,80,62,76,57,37,79,74,70,75,49,40,36,14,8,14,10,7,"Long Shot Taker (AI), Technical Dribbler (AI)"
4,200104,88,88,88,87,87,87,87,87,89,89,89,89,83,83,83,89,71,67,67,67,71,67,57,57,57,67,22,183,78,8-Jul-92,Right,5,4,4,High/Medium,Unique,Yes,€197.6M,83,88,68,84,79,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,84,73,89,47,34,33,11,13,13,6,10,"Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)"
5,238041,67,67,67,70,68,68,68,70,70,70,70,73,70,70,70,73,78,74,74,74,78,78,75,75,75,78,18,169,67,17-Aug-99,Left,3,3,1,High/Medium,Lean (170-),No,€29.5M,75,50,58,75,59,75,36,42,56,74,84,85,82,73,89,65,85,80,67,62,77,74,60,52,46,66,70,80,78,9,9,12,8,8,"Dives Into Tackles (AI), Early Crosser, Long Shot Taker (AI), Speed Dribbler (AI)"
6,232580,59,59,59,55,57,57,57,55,61,61,61,61,68,68,68,61,72,79,79,79,72,75,83,83,83,75,19,190,87,19-Dec-97,Left,2,2,2,Medium/High,Normal (185+),No,€77.7M,38,31,85,75,28,52,47,27,72,65,62,73,51,81,37,51,70,67,87,30,81,80,44,59,40,74,83,84,80,12,8,13,10,7,None
7,241637,77,77,77,76,77,77,77,76,80,80,80,79,83,83,83,79,81,84,84,84,81,81,82,82,82,81,19,187,81,27-Jan-00,Right,3,3,2,Medium/High,Normal (185+),No,€109.2M,68,67,73,84,50,78,76,53,83,80,70,73,75,81,71,78,74,86,82,72,82,84,75,82,55,82,80,83,78,9,8,12,12,7,Long Passer (AI)
8,264240,69,69,69,76,74,74,74,76,79,79,79,78,79,79,79,78,73,74,74,74,73,71,66,66,66,71,19,173,68,5-Aug-04,Right,3,3,1,High/High,Normal (170-185),No,€54M,64,64,42,81,49,82,74,47,76,81,78,75,86,76,89,56,70,77,56,59,82,65,73,81,51,74,59,66,62,8,10,11,7,13,"Dives Into Tackles (AI), Speed Dribbler (AI)"
9,253072,80,80,80,76,77,77,77,76,77,77,77,78,71,71,71,78,64,61,61,61,64,62,58,58,58,62,21,187,81,24-Jun-99,Right,3,3,1,High/High,Lean (185+),No,€70.4M,67,81,73,73,67,73,67,61,52,75,88,86,77,80,54,83,73,87,86,71,78,41,77,74,76,82,36,39,33,14,10,12,10,13,"Finesse Shot, Speed Dribbler (AI)"
10,228295,56,56,56,57,57,57,57,57,61,61,61,62,67,67,67,62,72,76,76,76,72,73,79,79,79,73,22,189,75,20-Sep-95,Right,3,2,1,Low/High,Lean (185+),Yes,€22.7M,50,30,72,75,27,64,33,30,66,69,55,58,54,78,61,48,76,68,78,27,75,78,40,57,38,74,77,81,78,14,11,10,14,13,None
11,234378,72,72,72,71,73,73,73,71,77,77,77,76,81,81,81,76,80,84,84,84,80,81,83,83,83,81,18,185,80,14-Jan-99,Right,3,2,1,Medium/High,Normal (185+),Yes,€100.7M,55,61,72,83,50,78,58,58,82,79,70,74,55,80,67,74,74,90,78,65,84,84,58,79,71,83,82,84,80,8,11,14,5,9,"Leadership, Long Passer (AI)"
12,247394,78,78,78,80,79,79,79,80,82,82,82,82,79,79,79,82,74,71,71,71,74,71,66,66,66,71,18,186,75,25-Apr-00,Left,3,4,2,High/Medium,Normal (185+),Yes,</label>,81,73,54,79,80,84,83,61,68,84,79,85,77,78,69,73,66,83,78,82,67,55,76,80,65,80,50,64,58,14,5,10,10,5,"Finesse Shot, Flair"
13,240833,71,71,71,69,70,70,70,69,70,70,70,69,61,61,61,69,53,49,49,49,53,50,46,46,46,50,19,179,72,20-Nov-04,Left,4,4,1,Medium/Medium,Normal (170-185),Yes,€10.3M,41,75,58,64,69,78,68,39,36,75,82,86,83,59,85,65,71,64,64,59,43,29,68,59,60,66,29,31,25,13,13,11,10,13,"Injury Prone, Flair, Outside Foot Shot, Technical Dribbler (AI)"
14,231943,84,84,84,80,81,81,81,80,82,82,82,83,77,77,77,83,71,69,69,69,71,69,67,67,67,69,21,181,71,10-May-97,Right,5,4,3,High/Medium,Normal (170-185),Yes,€78M,73,81,83,78,75,85,74,65,61,83,85,81,79,81,73,83,86,81,77,72,84,46,82,74,77,81,45,58,48,12,7,8,11,13,"Flair, Speed Dribbler (AI), Power Header, Technical Dribbler (AI)"
15,246430,85,85,85,77,81,81,81,77,79,79,79,77,70,70,70,77,56,54,54,54,56,53,49,49,49,53,20,190,75,28-Jan-00,Left,3,3,2,Medium/Medium,Normal (185+),No,€141.6M,50,88,76,70,76,79,68,56,50,84,77,82,61,83,52,83,68,79,88,80,60,22,88,66,73,80,18,26,24,5,15,6,11,10,None
16,165153,91,91,91,86,89,89,89,86,91,91,91,89,84,84,84,89,67,67,67,67,67,63,58,58,58,63,21,185,81,19-Dec-87,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,€172.2M,75,91,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,81,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,"Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player"
17,247819,62,62,62,61,62,62,62,61,66,66,66,66,72,72,72,66,74,79,79,79,74,76,82,82,82,76,21,191,86,1-Dec-99,Left,3,2,1,High/Medium,Normal (185+),No,€58.9M,43,34,81,74,36,66,47,35,79,67,64,75,63,79,62,61,68,69,82,48,75,82,48,67,38,74,81,84,78,8,10,8,14,13,"Long Passer (AI), Power Header"
18,242964,67,67,67,71,69,69,69,71,71,71,71,73,66,66,66,73,59,55,55,55,59,55,48,48,48,55,15,183,74,24-Feb-01,Right,3,3,1,High/Medium,Lean (170-185),No,€10.5M,73,64,49,68,48,76,75,66,62,74,78,78,73,61,68,68,58,68,56,67,62,28,65,68,65,65,34,40,33,5,6,14,7,8,"Early Crosser, Speed Dribbler (AI)"
19,246104,77,77,77,78,78,78,78,78,81,81,81,80,80,80,80,80,76,75,75,75,76,74,70,70,70,74,19,190,79,16-May-02,Right,4,4,1,Medium/Medium,Lean (185+),Yes,€52.8M,74,74,58,79,69,83,73,69,78,84,76,78,80,73,75,77,72,81,74,78,52,74,73,80,58,75,68,67,59,12,8,6,11,12,"Solid Player, Flair, Outside Foot Shot, Technical Dribbler (AI)"
20,251805,67,67,67,69,69,69,69,69,72,72,72,74,74,74,74,74,79,79,79,79,79,79,81,81,81,79,19,179,77,17-Jun-01,Right,3,3,1,High/Medium,Normal (170-185),No,€57.6M,59,41,68,79,41,76,44,31,69,77,80,86,73,78,74,58,84,78,80,46,76,78,66,63,42,84,82,83,75,6,6,8,14,14,None
21,261360,50,50,50,51,51,51,51,51,56,56,56,55,59,59,59,55,61,64,64,64,61,62,66,66,66,62,17,188,75,5-Jan-05,Right,3,2,1,Medium/High,Normal (185+),No,€4.1M,31,18,64,67,23,62,25,28,59,64,68,76,67,53,63,53,76,65,74,50,68,57,18,51,26,60,58,65,63,12,11,11,14,6,None
22,238794,80,80,80,84,83,83,83,84,84,84,84,85,76,76,76,85,62,58,58,58,62,57,47,47,47,57,17,176,73,12-Jul-00,Right,4,5,2,High/Medium,Lean (170-185),Yes,€187.9M,71,82,50,75,72,92,77,62,71,88,95,95,94,81,81,76,75,84,62,72,58,26,80,75,65,79,32,25,18,5,7,7,7,10,"Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)"
23,251852,76,76,76,76,75,75,75,76,76,76,76,76,68,68,68,76,56,51,51,51,56,52,44,44,44,52,19,177,75,18-Jan-02,Left,3,4,1,High/Medium,Normal (170-185),No,€21.3M,63,77,58,69,71,78,67,62,64,75,94,92,88,68,81,76,88,74,72,75,51,23,75,68,73,73,18,19,25,12,12,7,12,7,"Flair, Speed Dribbler (AI), Chip Shot (AI)"
24,232938,60,60,60,64,62,62,62,64,67,67,67,70,71,71,71,70,78,79,79,79,78,78,80,80,80,78,19,188,84,5-Nov-98,Right,5,2,1,Medium/High,Lean (185+),No,€56.7M,65,29,72,75,30,69,48,37,70,75,76,72,70,77,70,42,70,80,80,28,78,78,55,63,37,70,81,81,79,9,14,6,5,11,None
